="Exponential"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Analysis time when record ends",="Analysis time when record ends",="Analysis time when record ends",="Analysis time when record ends",="Analysis time when record ends",="Analysis time when record ends",="Analysis time when record ends",="Analysis time when record ends"

="Analysis time when record ends",="",="",="",="",="",="",="",=""
="gender (male=1)",="-0.264***",="-0.267***",="-0.274***",="-0.274***",="-0.274***",="-0.274***",="-0.274***",="-0.236**"
="",="(0.008)",="(0.006)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.012)"

="public school",="",="0.0371",="0.0949",="0.0949",="0.0958",="0.0957",="0.0959",="0.107"
="",="",="(0.694)",="(0.306)",="(0.306)",="(0.300)",="(0.303)",="(0.301)",="(0.254)"

="special school",="",="",="0.836***",="0.836***",="0.836***",="0.836***",="0.834***",="0.815***"
="",="",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="# pupils in the class (97=teacher has more than one class)",="",="",="",="",="0.000431",="0.000421",="0.000309",="0.000960"
="",="",="",="",="",="(0.933)",="(0.935)",="(0.953)",="(0.850)"

="# teachers in the school",="",="",="",="",="",="0.000130",="-0.000298",="-0.000115"
="",="",="",="",="",="",="(0.978)",="(0.957)",="(0.983)"

="# pupils in school",="",="",="",="",="",="",="0.0000556",="0.0000176"
="",="",="",="",="",="",="",="(0.901)",="(0.969)"

="hours of work",="",="",="",="",="",="",="",="0.00816*"
="",="",="",="",="",="",="",="",="(0.082)"

="Constant",="-2.566***",="-2.575***",="-2.620***",="-2.620***",="-2.631***",="-2.632***",="-2.636***",="-2.981***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="Observations",="18390",="18390",="18390",="18390",="18390",="18390",="18390",="18390"

="p-values in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
